"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2022,177,174,3,0,0,0,0,66,33,18,0,0,0,96,81
"Aberdeen, WA","10140",2022,212,211,1,0,0,0,0,63,23,14,0,0,0,212,0
"Ada, OK","10220",2022,61,50,11,0,0,0,0,90,58,44,0,0,45,16,0
"Adrian, MI","10300",2022,181,146,35,0,0,0,0,97,62,39,0,0,104,77,0
"Akron, OH","10420",2022,253,191,58,3,1,0,0,159,66,43,0,0,162,91,0
"Albany, GA","10500",2022,241,166,70,4,1,0,0,151,61,36,0,0,0,241,0
"Albany, OR","10540",2022,181,162,19,0,0,0,0,70,52,20,0,0,0,181,0
"Albany-Schenectady-Troy, NY","10580",2022,273,239,34,0,0,0,0,87,52,39,0,0,214,59,0
"Albuquerque, NM","10740",2022,273,105,160,6,1,0,1,331,84,54,0,0,195,32,46
"Alexandria, LA","10780",2022,60,51,8,1,0,0,0,105,53,30,0,0,0,60,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2022,304,244,60,0,0,0,0,93,58,39,0,48,176,76,4
"Altoona, PA","11020",2022,219,177,42,0,0,0,0,97,54,40,0,0,89,130,0
"Amarillo, TX","11100",2022,243,159,80,4,0,0,0,122,80,47,0,0,212,31,0
"Americus, GA","11140",2022,207,194,13,0,0,0,0,93,47,34,0,0,207,0,0
"Anchorage, AK","11260",2022,244,206,37,1,0,0,0,125,59,23,1,0,0,117,126
"Ann Arbor, MI","11460",2022,237,195,41,1,0,0,0,101,61,40,0,0,188,49,0
"Appleton, WI","11540",2022,273,238,34,1,0,0,0,122,53,38,0,0,140,133,0
"Ardmore, OK","11620",2022,273,181,85,7,0,0,0,150,77,45,0,0,180,93,0
"Arkadelphia, AR","11660",2022,241,232,9,0,0,0,0,90,45,36,0,0,241,0,0
"Asheville, NC","11700",2022,273,227,45,1,0,0,0,108,58,43,0,0,205,68,0
"Ashtabula, OH","11780",2022,178,152,21,5,0,0,0,133,58,40,0,0,178,0,0
"Athens, OH","11900",2022,80,77,3,0,0,0,0,63,40,23,0,0,0,80,0
"Athens, TN","11940",2022,174,152,22,0,0,0,0,70,53,30,0,0,0,174,0
"Athens-Clarke County, GA","12020",2022,243,183,60,0,0,0,0,87,60,44,0,0,131,112,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2022,274,153,113,7,1,0,0,169,71,48,1,7,145,121,0
"Atlantic City-Hammonton, NJ","12100",2022,269,257,11,0,1,0,0,176,46,34,0,0,231,38,0
"Augusta-Richmond County, GA-SC","12260",2022,273,207,66,0,0,0,0,99,59,42,0,0,159,114,0
"Augusta-Waterville, ME","12300",2022,184,180,4,0,0,0,0,84,44,31,0,0,167,17,0
"Austin-Round Rock, TX","12420",2022,244,161,81,2,0,0,0,115,73,45,1,6,124,113,0
"Bakersfield, CA","12540",2022,210,81,106,21,2,0,0,152,107,57,0,0,102,92,16
"Baltimore-Columbia-Towson, MD","12580",2022,273,189,82,2,0,0,0,122,71,45,0,6,208,59,0
"Bangor, ME","12620",2022,272,258,14,0,0,0,0,87,46,33,0,0,194,76,2
"Baraboo, WI","12660",2022,273,240,33,0,0,0,0,76,52,37,0,0,153,120,0
"Barnstable Town, MA","12700",2022,177,171,6,0,0,0,0,74,44,38,0,0,177,0,0
"Baton Rouge, LA","12940",2022,273,163,100,10,0,0,0,141,80,46,0,0,165,108,0
"Bay City, MI","13020",2022,181,170,11,0,0,0,0,68,40,19,0,0,0,181,0
"Beatrice, NE","13100",2022,165,156,9,0,0,0,0,78,43,20,0,0,0,165,0
"Beaumont-Port Arthur, TX","13140",2022,212,150,59,3,0,0,0,112,67,44,0,2,121,89,0
"Beaver Dam, WI","13180",2022,274,238,36,0,0,0,0,93,53,38,1,0,213,60,0
"Bellingham, WA","13380",2022,182,179,3,0,0,0,0,74,40,32,0,0,169,13,0
"Bemidji, MN","13420",2022,86,83,3,0,0,0,0,60,45,28,0,0,0,86,0
"Bend-Redmond, OR","13460",2022,181,171,9,0,1,0,0,153,32,13,0,0,0,181,0
"Bennington, VT","13540",2022,181,171,10,0,0,0,0,67,47,38,0,0,159,22,0
"Berlin, NH-VT","13620",2022,181,176,5,0,0,0,0,64,46,41,0,0,181,0,0
"Billings, MT","13740",2022,243,238,4,0,1,0,0,154,35,21,0,0,0,243,0
"Birmingham-Hoover, AL","13820",2022,182,89,90,3,0,0,0,105,74,51,1,0,67,114,0
"Bishop, CA","13860",2022,304,162,125,11,2,2,2,1445,85,50,0,0,177,94,33
"Bismarck, ND","13900",2022,244,212,32,0,0,0,0,87,52,39,1,1,177,63,2
"Blacksburg-Christiansburg-Radford, VA","13980",2022,239,211,28,0,0,0,0,100,51,40,0,0,239,0,0
"Bloomington, IL","14010",2022,273,211,60,2,0,0,0,129,60,42,0,0,161,112,0
"Bloomington, IN","14020",2022,239,195,42,2,0,0,0,101,61,40,0,0,157,82,0
"Boise City, ID","14260",2022,182,130,52,0,0,0,0,74,60,44,1,3,113,63,2
"Boston-Cambridge-Newton, MA-NH","14460",2022,182,146,36,0,0,0,0,90,57,44,1,5,118,58,0
"Boulder, CO","14500",2022,275,168,100,7,0,0,0,129,80,48,0,0,235,39,1
"Bowling Green, KY","14540",2022,213,176,37,0,0,0,0,84,55,42,2,0,160,51,0
"Bozeman, MT","14580",2022,243,233,10,0,0,0,0,73,38,23,0,2,0,241,0
"Brainerd, MN","14660",2022,181,172,9,0,0,0,0,67,45,38,0,0,115,66,0
"Bremerton-Silverdale, WA","14740",2022,207,202,5,0,0,0,0,55,36,19,0,0,0,207,0
"Bridgeport-Stamford-Norwalk, CT","14860",2022,181,129,48,4,0,0,0,140,62,44,0,7,106,68,0
"Brookings, SD","15100",2022,180,162,18,0,0,0,0,87,51,35,0,0,138,23,19
"Brownsville-Harlingen, TX","15180",2022,212,124,85,3,0,0,0,120,71,47,0,0,66,146,0
"Brunswick, GA","15260",2022,273,238,34,1,0,0,0,106,53,37,0,0,126,147,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2022,274,217,55,2,0,0,0,150,62,40,1,4,194,74,1
"Burlington-South Burlington, VT","15540",2022,182,166,16,0,0,0,0,89,49,42,1,0,151,30,0
"Butte-Silver Bow, MT","15580",2022,243,217,25,1,0,0,0,102,51,19,0,0,0,134,109
"Cadillac, MI","15620",2022,242,203,35,4,0,0,0,136,58,40,0,0,180,62,0
"Cambridge, MD","15700",2022,242,212,30,0,0,0,0,93,51,41,0,0,228,14,0
"Canton-Massillon, OH","15940",2022,243,179,62,2,0,0,0,136,65,44,0,0,139,104,0
"Cape Coral-Fort Myers, FL","15980",2022,181,154,27,0,0,0,0,80,54,41,0,0,132,49,0
"Carlsbad-Artesia, NM","16100",2022,212,111,80,21,0,0,0,150,100,49,0,0,212,0,0
"Carson City, NV","16180",2022,181,159,22,0,0,0,0,77,54,42,0,0,164,17,0
"Casper, WY","16220",2022,181,172,9,0,0,0,0,64,48,43,0,0,181,0,0
"Ca¤on City, CO","15860",2022,74,71,3,0,0,0,0,77,28,12,0,0,0,0,74
"Cedar City, UT","16260",2022,304,257,47,0,0,0,0,80,54,43,0,11,280,13,0
"Cedar Rapids, IA","16300",2022,304,231,73,0,0,0,0,79,56,42,0,0,161,143,0
"Centralia, WA","16500",2022,212,205,7,0,0,0,0,64,40,16,0,0,0,212,0
"Chambersburg-Waynesboro, PA","16540",2022,115,105,10,0,0,0,0,84,49,41,0,0,115,0,0
"Champaign-Urbana, IL","16580",2022,273,224,48,1,0,0,0,126,58,40,0,0,198,75,0
"Charleston, WV","16620",2022,175,144,31,0,0,0,0,90,57,41,2,0,101,72,0
"Charleston-North Charleston, SC","16700",2022,273,221,52,0,0,0,0,84,56,40,0,1,136,136,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2022,274,182,89,3,0,0,0,119,74,47,1,0,201,72,0
"Charlottesville, VA","16820",2022,206,185,21,0,0,0,0,67,51,39,0,0,99,107,0
"Chattanooga, TN-GA","16860",2022,298,185,112,1,0,0,0,105,67,46,0,0,132,166,0
"Cheyenne, WY","16940",2022,182,163,19,0,0,0,0,74,51,43,1,0,168,11,2
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2022,274,139,122,11,2,0,0,164,83,50,1,14,127,115,17
"Chico, CA","17020",2022,187,144,43,0,0,0,0,90,67,43,1,0,143,43,0
"Cincinnati, OH-KY-IN","17140",2022,274,134,134,5,1,0,0,151,77,51,1,9,119,139,6
"Claremont-Lebanon, NH-VT","17200",2022,181,175,6,0,0,0,0,80,46,37,0,0,158,23,0
"Clarksburg, WV","17220",2022,57,51,6,0,0,0,0,64,51,28,0,0,0,57,0
"Clarksville, TN-KY","17300",2022,181,137,44,0,0,0,0,85,62,43,0,0,108,73,0
"Clearlake, CA","17340",2022,15,15,0,0,0,0,0,33,23,16,0,0,0,14,1
"Cleveland, MS","17380",2022,273,226,47,0,0,0,0,92,55,39,0,0,147,126,0
"Cleveland-Elyria, OH","17460",2022,254,145,103,5,1,0,0,156,75,47,1,4,133,111,5
"Clinton, IA","17540",2022,303,206,96,1,0,0,0,107,64,42,0,0,129,174,0
"Coeur d'Alene, ID","17660",2022,181,179,2,0,0,0,0,57,25,10,0,0,0,181,0
"College Station-Bryan, TX","17780",2022,224,197,27,0,0,0,0,93,52,31,0,0,0,224,0
"Colorado Springs, CO","17820",2022,276,171,103,2,0,0,0,115,77,48,1,0,267,6,2
"Columbia, MO","17860",2022,122,116,6,0,0,0,0,67,49,40,0,0,122,0,0
"Columbia, SC","17900",2022,273,220,53,0,0,0,0,93,60,42,0,0,177,96,0
"Columbus, GA-AL","17980",2022,243,187,54,2,0,0,0,149,61,42,0,0,113,130,0
"Columbus, IN","18020",2022,211,174,36,1,0,0,0,105,61,41,0,0,178,33,0
"Columbus, OH","18140",2022,244,179,62,3,0,0,0,143,67,44,1,2,155,86,0
"Concord, NH","18180",2022,120,117,3,0,0,0,0,67,45,39,0,0,120,0,0
"Cookeville, TN","18260",2022,181,168,13,0,0,0,0,79,45,25,0,0,0,181,0
"Corning, NY","18500",2022,274,259,15,0,0,0,0,67,47,37,1,0,228,45,0
"Corpus Christi, TX","18580",2022,181,121,59,1,0,0,0,106,63,45,0,0,84,97,0
"Corsicana, TX","18620",2022,212,164,47,1,0,0,0,101,64,43,0,3,154,55,0
"Corvallis, OR","18700",2022,181,170,11,0,0,0,0,64,43,16,0,0,0,181,0
"Crescent City, CA","18860",2022,171,163,8,0,0,0,0,70,40,23,0,0,0,171,0
"Crestview-Fort Walton Beach-Destin, FL","18880",2022,170,155,15,0,0,0,0,84,49,39,0,0,166,0,4
"Dallas-Fort Worth-Arlington, TX","19100",2022,213,97,84,30,2,0,0,187,120,51,1,11,138,62,1
"Dalton, GA","19140",2022,181,156,24,1,0,0,0,105,54,40,0,0,181,0,0
"Danville, VA","19260",2022,180,180,0,0,0,0,0,28,8,3,0,180,0,0,0
"Daphne-Fairhope-Foley, AL","19300",2022,141,119,22,0,0,0,0,96,52,40,0,0,114,27,0
"Davenport-Moline-Rock Island, IA-IL","19340",2022,305,223,82,0,0,0,0,96,65,42,1,0,163,88,53
"Dayton, OH","19380",2022,274,197,74,3,0,0,0,136,62,44,1,0,185,88,0
"Decatur, AL","19460",2022,181,136,45,0,0,0,0,97,60,43,0,0,83,98,0
"Decatur, IL","19500",2022,273,220,51,2,0,0,0,115,58,41,0,0,155,118,0
"Deltona-Daytona Beach-Ormond Beach, FL","19660",2022,181,148,33,0,0,0,0,100,56,43,0,0,119,62,0
"Deming, NM","19700",2022,181,143,30,5,2,0,1,775,61,22,0,0,0,0,181
"Denver-Aurora-Lakewood, CO","19740",2022,282,84,163,34,1,0,0,169,105,61,0,28,217,22,15
"Des Moines-West Des Moines, IA","19780",2022,304,267,37,0,0,0,0,77,52,39,0,11,201,90,2
"Detroit-Warren-Dearborn, MI","19820",2022,182,75,97,10,0,0,0,133,84,54,1,8,50,116,7
"Dickinson, ND","19860",2022,241,239,2,0,0,0,0,54,44,38,0,0,225,16,0
"Dodge City, KS","19980",2022,179,161,18,0,0,0,0,87,53,18,0,0,0,0,179
"Douglas, GA","20060",2022,71,65,6,0,0,0,0,71,46,28,0,0,0,71,0
"Dover, DE","20100",2022,59,47,12,0,0,0,0,71,55,37,0,0,22,37,0
"DuBois, PA","20180",2022,105,102,3,0,0,0,0,97,44,37,0,0,105,0,0
"Duluth, MN-WI","20260",2022,210,201,9,0,0,0,0,71,45,37,0,4,185,16,5
"Durango, CO","20420",2022,306,210,95,1,0,0,0,108,74,47,0,0,298,8,0
"Durham-Chapel Hill, NC","20500",2022,273,246,27,0,0,0,0,93,50,41,0,0,201,72,0
"Dyersburg, TN","20540",2022,181,163,17,1,0,0,0,102,50,27,0,0,0,181,0
"Eagle Pass, TX","20580",2022,203,157,45,1,0,0,0,107,62,32,0,0,0,203,0
"East Stroudsburg, PA","20700",2022,103,93,10,0,0,0,0,74,50,42,0,0,103,0,0
"Eau Claire, WI","20740",2022,273,244,29,0,0,0,0,74,52,37,0,0,149,124,0
"Effingham, IL","20820",2022,208,185,23,0,0,0,0,100,51,38,0,0,208,0,0
"El Centro, CA","20940",2022,238,82,122,23,4,2,5,762,114,57,0,4,74,42,118
"El Dorado, AR","20980",2022,37,26,11,0,0,0,0,66,58,32,0,0,0,37,0
"El Paso, TX","21340",2022,213,75,123,14,1,0,0,163,94,56,1,10,117,74,11
"Elizabethtown-Fort Knox, KY","21060",2022,183,149,34,0,0,0,0,84,59,42,0,0,90,93,0
"Elkhart-Goshen, IN","21140",2022,269,234,34,1,0,0,0,105,54,38,0,0,197,72,0
"Elko, NV","21220",2022,181,167,12,2,0,0,0,149,34,15,0,0,0,0,181
"Ellensburg, WA","21260",2022,210,183,26,0,1,0,0,151,54,15,0,0,0,210,0
"Erie, PA","21500",2022,304,279,25,0,0,0,0,90,47,31,2,32,85,151,34
"Espa¤ola, NM","21580",2022,228,203,24,1,0,0,0,105,51,43,0,0,228,0,0
"Eugene, OR","21660",2022,181,99,51,14,17,0,0,196,137,43,0,0,17,164,0
"Eureka-Arcata-Fortuna, CA","21700",2022,274,269,5,0,0,0,0,68,32,23,1,0,214,30,29
"Evanston, WY","21740",2022,181,179,2,0,0,0,0,55,17,6,0,0,0,0,181
"Evansville, IN-KY","21780",2022,273,190,82,1,0,0,0,101,65,44,0,0,175,98,0
"Fairbanks, AK","21820",2022,201,140,45,8,7,1,0,280,85,39,23,0,89,86,3
"Fairmont, WV","21900",2022,58,51,7,0,0,0,0,69,54,28,0,0,0,58,0
"Fallon, NV","21980",2022,168,160,8,0,0,0,0,64,47,40,0,0,168,0,0
"Fargo, ND-MN","22020",2022,243,226,17,0,0,0,0,71,48,37,0,5,188,50,0
"Farmington, NM","22140",2022,273,147,115,9,1,1,0,220,84,50,0,2,251,0,20
"Fayetteville, NC","22180",2022,273,219,53,1,0,0,0,115,60,41,0,0,201,69,3
"Fayetteville-Springdale-Rogers, AR-MO","22220",2022,200,189,10,1,0,0,0,108,48,38,0,0,176,15,9
"Fernley, NV","22280",2022,180,170,10,0,0,0,0,71,48,40,0,0,180,0,0
"Flagstaff, AZ","22380",2022,273,196,76,1,0,0,0,101,67,47,0,0,273,0,0
"Flint, MI","22420",2022,180,139,39,2,0,0,0,112,64,40,0,0,103,77,0
"Florence, SC","22500",2022,252,218,34,0,0,0,0,84,52,39,0,0,131,121,0
"Fond du Lac, WI","22540",2022,185,175,9,1,0,0,0,108,48,37,0,0,185,0,0
"Fort Collins, CO","22660",2022,274,137,129,8,0,0,0,126,87,51,1,0,261,12,0
"Fort Madison-Keokuk, IA-IL-MO","22800",2022,75,68,7,0,0,0,0,72,48,29,0,0,0,75,0
"Fort Payne, AL","22840",2022,242,225,17,0,0,0,0,97,48,37,0,0,224,18,0
"Fort Smith, AR-OK","22900",2022,189,159,28,2,0,0,0,122,56,38,0,7,82,100,0
"Fort Wayne, IN","23060",2022,273,219,51,3,0,0,0,115,64,41,0,0,187,86,0
"Fresno, CA","23420",2022,243,77,134,31,1,0,0,151,103,64,0,0,166,73,4
"Gadsden, AL","23460",2022,179,140,39,0,0,0,0,93,58,42,0,0,76,103,0
"Gainesville, FL","23540",2022,181,164,17,0,0,0,0,84,50,40,0,0,133,48,0
"Gainesville, GA","23580",2022,242,196,46,0,0,0,0,76,55,36,0,0,0,242,0
"Gardnerville Ranchos, NV","23820",2022,181,174,7,0,0,0,0,57,37,13,0,0,0,181,0
"Gettysburg, PA","23900",2022,305,247,58,0,0,0,0,97,55,41,7,55,166,77,0
"Gillette, WY","23940",2022,212,158,52,0,1,0,1,576,64,43,0,0,79,37,96
"Glenwood Springs, CO","24060",2022,272,246,26,0,0,0,0,84,50,43,0,0,270,0,2
"Grand Island, NE","24260",2022,293,277,16,0,0,0,0,81,44,21,0,0,0,293,0
"Grand Junction, CO","24300",2022,276,219,56,1,0,0,0,108,58,45,0,0,250,21,5
"Grand Rapids-Wyoming, MI","24340",2022,182,127,51,2,2,0,0,164,67,42,1,3,105,72,1
"Grants Pass, OR","24420",2022,181,138,41,2,0,0,0,125,75,20,0,0,0,181,0
"Great Falls, MT","24500",2022,239,235,4,0,0,0,0,54,27,15,0,0,0,239,0
"Greeley, CO","24540",2022,277,125,142,10,0,0,0,133,90,51,1,2,225,49,0
"Green Bay, WI","24580",2022,267,226,36,4,1,0,0,161,61,38,0,0,173,94,0
"Greenfield Town, MA","24640",2022,181,151,30,0,0,0,0,80,55,38,0,0,117,64,0
"Greensboro-High Point, NC","24660",2022,273,214,59,0,0,0,0,84,57,43,0,0,187,84,2
"Greenville, NC","24780",2022,273,255,18,0,0,0,0,97,48,37,0,0,203,70,0
"Greenville-Anderson-Mauldin, SC","24860",2022,262,185,77,0,0,0,0,90,61,44,0,0,144,118,0
"Guayama, PR","25020",2022,55,52,3,0,0,0,0,63,34,15,0,0,0,32,23
"Gulfport-Biloxi-Pascagoula, MS","25060",2022,273,200,72,1,0,0,0,101,64,42,0,1,148,124,0
"Hagerstown-Martinsburg, MD-WV","25180",2022,269,235,34,0,0,0,0,87,53,40,0,0,192,77,0
"Hailey, ID","25200",2022,173,173,0,0,0,0,0,44,29,17,0,0,0,173,0
"Hammond, LA","25220",2022,60,53,7,0,0,0,0,96,54,31,0,0,0,60,0
"Hanford-Corcoran, CA","25260",2022,304,76,197,30,1,0,0,187,101,67,0,0,174,72,58
"Harrisburg-Carlisle, PA","25420",2022,304,233,69,2,0,0,0,112,61,38,0,0,83,160,61
"Harrison, AR","25460",2022,181,169,11,1,0,0,0,105,48,39,0,0,181,0,0
"Harrisonburg, VA","25500",2022,206,195,11,0,0,0,0,74,47,36,0,47,113,46,0
"Hartford-West Hartford-East Hartford, CT","25540",2022,181,142,38,1,0,0,0,112,62,42,0,9,129,43,0
"Hattiesburg, MS","25620",2022,273,211,61,1,0,0,0,105,58,37,0,0,0,273,0
"Helena, MT","25740",2022,244,223,21,0,0,0,0,71,50,43,1,0,201,42,0
"Hermiston-Pendleton, OR","25840",2022,181,168,13,0,0,0,0,94,48,31,0,0,58,123,0
"Hickory-Lenoir-Morganton, NC","25860",2022,273,215,58,0,0,0,0,90,58,42,0,0,177,96,0
"Hilo, HI","25900",2022,209,207,2,0,0,0,0,58,38,26,0,0,0,209,0
"Hobbs, NM","26020",2022,181,124,53,4,0,0,0,126,67,45,0,2,135,44,0
"Holland, MI","26090",2022,172,138,29,3,2,0,0,195,64,38,0,0,104,68,0
"Homosassa Springs, FL","26140",2022,176,160,16,0,0,0,0,68,49,35,0,0,0,176,0
"Hot Springs, AR","26300",2022,39,36,3,0,0,0,0,67,48,33,0,0,0,39,0
"Houma-Thibodaux, LA","26380",2022,264,227,36,1,0,0,0,109,53,37,0,0,143,121,0
"Houston-The Woodlands-Sugar Land, TX","26420",2022,213,53,142,15,3,0,0,179,97,57,1,5,94,105,8
"Huntington-Ashland, WV-KY-OH","26580",2022,243,200,43,0,0,0,0,93,55,41,0,3,138,100,2
"Huntsville, AL","26620",2022,181,134,47,0,0,0,0,97,60,43,0,0,71,107,3
"Idaho Falls, ID","26820",2022,212,190,22,0,0,0,0,71,51,43,0,0,200,12,0
"Indiana, PA","26860",2022,243,212,30,1,0,0,0,105,52,39,0,0,95,148,0
"Indianapolis-Carmel-Anderson, IN","26900",2022,274,157,107,10,0,0,0,133,76,48,1,5,138,130,0
"Iowa City, IA","26980",2022,303,262,41,0,0,0,0,81,54,31,0,0,0,303,0
"Ithaca, NY","27060",2022,239,227,12,0,0,0,0,67,46,39,0,0,239,0,0
"Jackson, MS","27140",2022,274,197,75,2,0,0,0,105,62,43,1,0,129,144,0
"Jackson, TN","27180",2022,175,152,22,1,0,0,0,102,53,30,0,0,0,175,0
"Jackson, WY-ID","27220",2022,213,200,13,0,0,0,0,100,48,44,1,1,209,2,0
"Jacksonville, FL","27260",2022,182,122,60,0,0,0,0,90,64,46,1,2,88,90,1
"Jamestown-Dunkirk-Fredonia, NY","27460",2022,269,244,21,4,0,0,0,140,50,39,0,0,263,6,0
"Janesville-Beloit, WI","27500",2022,186,168,18,0,0,0,0,97,50,40,0,0,186,0,0
"Jasper, IN","27540",2022,76,67,9,0,0,0,0,86,53,32,0,0,0,72,4
"Jefferson City, MO","27620",2022,122,110,12,0,0,0,0,74,50,41,0,0,122,0,0
"Johnstown, PA","27780",2022,303,219,83,1,0,0,0,119,61,40,4,49,74,163,13
"Joplin, MO","27900",2022,181,148,32,1,0,0,0,108,66,40,0,0,105,0,76
"Juneau, AK","27940",2022,188,171,17,0,0,0,0,89,46,14,0,0,0,187,1
"Kahului-Wailuku-Lahaina, HI","27980",2022,181,179,2,0,0,0,0,72,28,18,0,0,0,181,0
"Kalamazoo-Portage, MI","28020",2022,170,118,51,1,0,0,0,119,67,43,0,0,89,81,0
"Kalispell, MT","28060",2022,243,219,24,0,0,0,0,69,50,38,0,0,153,56,34
"Kansas City, MO-KS","28140",2022,182,108,74,0,0,0,0,93,74,48,1,4,84,83,10
"Kapaa, HI","28180",2022,90,90,0,0,0,0,0,34,19,10,0,17,0,73,0
"Keene, NH","28300",2022,181,161,20,0,0,0,0,80,51,38,0,0,139,42,0
"Kennewick-Richland, WA","28420",2022,212,197,15,0,0,0,0,100,46,34,0,0,101,77,34
"Killeen-Temple, TX","28660",2022,243,179,61,3,0,0,0,129,73,44,0,0,182,61,0
"Kingsport-Bristol-Bristol, TN-VA","28700",2022,209,182,27,0,0,0,0,87,54,40,0,0,108,101,0
"Kingsville, TX","28780",2022,174,109,61,4,0,0,0,133,66,40,0,0,0,174,0
"Kinston, NC","28820",2022,210,186,23,1,0,0,0,108,54,39,0,0,210,0,0
"Klamath Falls, OR","28900",2022,181,144,36,1,0,0,0,103,59,19,0,0,0,181,0
"Knoxville, TN","28940",2022,273,184,88,1,0,0,0,115,64,45,0,0,162,111,0
"Kokomo, IN","29020",2022,243,187,52,4,0,0,0,108,62,40,0,0,167,76,0
"La Crosse-Onalaska, WI-MN","29100",2022,273,245,28,0,0,0,0,67,51,37,0,0,155,118,0
"La Grande, OR","29260",2022,181,171,10,0,0,0,0,70,38,16,0,0,0,178,3
"Laconia, NH","29060",2022,181,177,4,0,0,0,0,58,44,34,0,0,122,59,0
"Lafayette, LA","29180",2022,273,200,71,2,0,0,0,103,64,41,0,0,187,86,0
"Lafayette-West Lafayette, IN","29200",2022,273,237,36,0,0,0,0,95,55,38,0,0,225,48,0
"Lake Charles, LA","29340",2022,273,180,93,0,0,0,0,100,67,44,0,0,113,157,3
"Lake City, FL","29380",2022,179,147,32,0,0,0,0,90,58,41,0,0,114,65,0
"Lake Havasu City-Kingman, AZ","29420",2022,273,257,15,1,0,0,0,115,36,18,0,0,0,0,273
