"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Lakeland-Winter Haven, FL","29460",2022,181,152,29,0,0,0,0,87,55,41,0,0,121,60,0
"Lancaster, PA","29540",2022,304,168,134,1,1,0,0,152,71,48,0,0,43,200,61
"Lansing-East Lansing, MI","29620",2022,181,134,47,0,0,0,0,93,60,41,0,6,97,78,0
"Laramie, WY","29660",2022,243,142,100,0,1,0,0,151,67,49,0,17,187,1,38
"Laredo, TX","29700",2022,208,138,68,2,0,0,0,114,72,42,0,0,0,201,7
"Las Cruces, NM","29740",2022,273,118,127,23,1,2,2,375,101,54,0,11,186,15,61
"Las Vegas-Henderson-Paradise, NV","29820",2022,182,53,121,6,1,1,0,260,90,63,1,2,107,48,24
"Lawrenceburg, TN","29980",2022,179,167,12,0,0,0,0,80,45,19,0,0,0,179,0
"Lawton, OK","30020",2022,273,182,89,2,0,0,0,126,71,45,0,0,181,92,0
"Lebanon, PA","30140",2022,242,197,44,1,0,0,0,101,57,38,0,0,87,155,0
"Lewiston, ID-WA","30300",2022,304,253,45,2,4,0,0,180,55,30,0,0,0,304,0
"Lewiston-Auburn, ME","30340",2022,301,286,15,0,0,0,0,97,45,31,0,0,206,94,1
"Lexington-Fayette, KY","30460",2022,186,158,28,0,0,0,0,90,58,42,0,7,100,74,5
"Lima, OH","30620",2022,243,199,44,0,0,0,0,97,58,40,0,0,171,72,0
"Lincoln, NE","30700",2022,228,221,7,0,0,0,0,61,45,37,0,0,206,22,0
"Little Rock-North Little Rock-Conway, AR","30780",2022,272,190,81,1,0,0,0,115,61,43,0,3,103,166,0
"Logan, UT-ID","30860",2022,304,221,80,2,1,0,0,154,67,44,0,0,228,76,0
"Longview, TX","30980",2022,212,190,21,1,0,0,0,143,51,37,0,1,211,0,0
"Longview, WA","31020",2022,210,209,1,0,0,0,0,54,28,13,0,0,0,210,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2022,182,18,131,20,13,0,0,192,129,70,1,29,86,58,8
"Louisville/Jefferson County, KY-IN","31140",2022,273,184,87,2,0,0,0,119,64,44,0,0,153,119,1
"Lubbock, TX","31180",2022,229,203,24,2,0,0,0,138,52,22,0,0,0,229,0
"Ludington, MI","31220",2022,120,107,11,1,1,0,0,161,58,38,0,0,120,0,0
"Lynchburg, VA","31340",2022,87,86,1,0,0,0,0,55,41,23,0,0,0,87,0
"Macon, GA","31420",2022,273,229,44,0,0,0,0,90,55,38,0,0,126,147,0
"Madera, CA","31460",2022,120,70,48,2,0,0,0,112,79,48,0,0,67,51,2
"Madison, WI","31540",2022,273,229,44,0,0,0,0,87,56,39,0,0,139,133,1
"Manchester-Nashua, NH","31700",2022,181,171,10,0,0,0,0,74,48,41,0,0,177,4,0
"Manitowoc, WI","31820",2022,182,151,25,4,2,0,0,182,74,39,0,0,182,0,0
"Marietta, OH","31930",2022,184,162,22,0,0,0,0,84,54,41,0,0,184,0,0
"Marshall, MN","32140",2022,180,161,18,0,1,0,0,163,51,38,0,0,109,71,0
"Marshall, TX","32220",2022,176,112,59,4,1,0,0,173,67,47,0,1,84,91,0
"Mason City, IA","32380",2022,87,87,0,0,0,0,0,42,29,17,0,0,0,0,87
"Mayaguez, PR","32420",2022,166,141,21,3,1,0,0,154,57,32,0,0,56,110,0
"McAlester, OK","32540",2022,256,195,57,4,0,0,0,139,61,43,0,0,145,111,0
"McAllen-Edinburg-Mission, TX","32580",2022,212,137,72,3,0,0,0,136,70,45,0,0,63,148,1
"Medford, OR","32780",2022,181,157,24,0,0,0,0,73,54,34,0,0,59,122,0
"Memphis, TN-MS-AR","32820",2022,273,201,63,8,1,0,0,156,70,43,0,2,167,103,1
"Merced, CA","32900",2022,90,41,47,2,0,0,0,115,85,53,0,0,31,58,1
"Meridian, MS","32940",2022,209,201,8,0,0,0,0,77,47,36,0,0,209,0,0
"Miami, OK","33060",2022,181,134,40,3,4,0,0,176,64,43,0,0,71,110,0
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2022,182,131,49,2,0,0,0,136,60,45,1,13,90,77,1
"Michigan City-La Porte, IN","33140",2022,273,236,33,4,0,0,0,143,58,38,0,0,252,21,0
"Middlesborough, KY","33180",2022,181,121,60,0,0,0,0,90,64,44,0,0,84,97,0
"Milwaukee-Waukesha-West Allis, WI","33340",2022,274,187,82,4,1,0,0,159,71,44,1,1,175,84,13
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",2022,182,132,50,0,0,0,0,95,61,44,1,5,125,47,4
"Minot, ND","33500",2022,238,232,6,0,0,0,0,66,44,37,0,0,212,26,0
"Missoula, MT","33540",2022,243,162,77,4,0,0,0,140,71,43,0,0,140,103,0
"Mobile, AL","33660",2022,180,143,37,0,0,0,0,93,58,42,0,0,73,107,0
"Modesto, CA","33700",2022,186,103,76,7,0,0,0,111,91,48,1,0,89,93,3
"Monroe, LA","33740",2022,269,244,24,1,0,0,0,105,50,38,0,0,253,16,0
"Monroe, MI","33780",2022,30,26,4,0,0,0,0,82,55,27,0,0,0,0,30
"Montgomery, AL","33860",2022,181,148,33,0,0,0,0,95,58,42,0,0,105,76,0
"Morehead City, NC","33980",2022,239,227,12,0,0,0,0,77,46,38,0,0,239,0,0
"Morgantown, WV","34060",2022,137,124,13,0,0,0,0,77,50,38,0,0,116,21,0
"Morristown, TN","34100",2022,121,105,16,0,0,0,0,87,54,43,0,0,121,0,0
"Moscow, ID","34140",2022,177,177,0,0,0,0,0,25,5,0,0,0,0,177,0
"Moses Lake, WA","34180",2022,212,206,6,0,0,0,0,63,33,17,0,0,0,212,0
"Mount Vernon, IL","34500",2022,273,224,49,0,0,0,0,87,60,40,0,0,157,116,0
"Mount Vernon, OH","34540",2022,184,166,17,1,0,0,0,119,50,41,0,0,184,0,0
"Mount Vernon-Anacortes, WA","34580",2022,212,204,7,1,0,0,0,101,40,31,0,0,145,67,0
"Muncie, IN","34620",2022,237,205,31,1,0,0,0,115,56,39,0,0,218,19,0
"Muscatine, IA","34700",2022,304,269,35,0,0,0,0,87,52,31,0,0,0,303,1
"Muskegon, MI","34740",2022,122,101,15,4,2,0,0,187,61,39,0,0,122,0,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2022,194,178,16,0,0,0,0,93,50,39,0,0,194,0,0
"Naples-Immokalee-Marco Island, FL","34940",2022,179,169,10,0,0,0,0,79,47,38,0,0,132,47,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2022,274,172,98,4,0,0,0,143,68,45,1,9,132,132,0
"New Castle, IN","35220",2022,72,65,7,0,0,0,0,94,50,29,0,0,0,72,0
"New Castle, PA","35260",2022,119,105,12,2,0,0,0,126,58,40,0,0,119,0,0
"New Haven-Milford, CT","35300",2022,182,134,47,1,0,0,0,105,63,42,1,6,115,59,1
"New Orleans-Metairie, LA","35380",2022,274,185,86,3,0,0,0,108,67,45,1,0,133,140,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2022,274,139,124,10,1,0,0,161,86,50,1,33,163,77,0
"Niles-Benton Harbor, MI","35660",2022,120,91,24,4,1,0,0,156,74,41,0,0,120,0,0
"Nogales, AZ","35700",2022,270,224,46,0,0,0,0,93,60,32,0,0,0,181,89
"North Port-Sarasota-Bradenton, FL","35840",2022,181,140,41,0,0,0,0,100,58,43,0,0,125,56,0
"Norwich-New London, CT","35980",2022,181,161,20,0,0,0,0,80,51,37,0,0,108,73,0
"Ocala, FL","36100",2022,180,151,29,0,0,0,0,93,55,42,0,0,125,55,0
"Odessa, TX","36220",2022,243,201,42,0,0,0,0,93,54,31,0,0,0,243,0
"Ogden-Clearfield, UT","36260",2022,305,165,130,10,0,0,0,147,88,49,1,9,243,47,5
"Oklahoma City, OK","36420",2022,274,140,126,8,0,0,0,129,83,50,1,15,158,96,4
"Olympia-Tumwater, WA","36500",2022,212,210,2,0,0,0,0,55,38,22,0,0,85,127,0
"Omaha-Council Bluffs, NE-IA","36540",2022,304,225,78,1,0,0,0,108,61,44,0,0,224,45,35
"Orlando-Kissimmee-Sanford, FL","36740",2022,181,143,38,0,0,0,0,97,60,44,0,0,145,36,0
"Othello, WA","36830",2022,212,212,0,0,0,0,0,36,18,11,0,0,0,212,0
"Owensboro, KY","36980",2022,181,143,37,1,0,0,0,108,58,43,0,2,100,79,0
"Oxford, NC","37080",2022,213,192,20,1,0,0,0,112,50,42,0,0,213,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2022,243,141,98,4,0,0,0,140,80,48,0,1,211,31,0
"Paducah, KY-IL","37140",2022,181,145,35,1,0,0,0,105,61,40,0,1,100,80,0
"Pahrump, NV","37220",2022,174,142,22,6,3,1,0,294,69,22,0,0,0,0,174
"Palatka, FL","37260",2022,151,151,0,0,0,0,0,44,29,18,0,0,0,0,151
"Palm Bay-Melbourne-Titusville, FL","37340",2022,181,154,27,0,0,0,0,80,54,42,0,0,135,46,0
"Panama City, FL","37460",2022,181,141,40,0,0,0,0,99,58,42,0,0,114,67,0
"Parkersburg-Vienna, WV","37620",2022,142,128,13,1,0,0,0,108,50,39,0,0,115,27,0
"Payson, AZ","37740",2022,273,158,97,16,2,0,0,177,90,48,0,0,257,0,16
"Pensacola-Ferry Pass-Brent, FL","37860",2022,181,124,55,2,0,0,0,133,65,45,0,0,103,78,0
"Peoria, IL","37900",2022,273,209,64,0,0,0,0,100,61,42,0,0,154,119,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2022,304,169,131,4,0,0,0,126,74,48,0,40,164,100,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2022,303,56,164,63,14,6,0,264,136,77,0,0,212,9,82
"Pierre, SD","38180",2022,178,175,3,0,0,0,0,58,19,3,0,0,0,178,0
"Pittsburgh, PA","38300",2022,304,177,123,4,0,0,0,129,75,46,0,33,70,173,28
"Pittsfield, MA","38340",2022,181,156,25,0,0,0,0,80,54,40,0,0,128,53,0
"Platteville, WI","38420",2022,267,238,29,0,0,0,0,77,51,28,0,0,0,267,0
"Pocatello, ID","38540",2022,263,196,66,1,0,0,0,106,67,40,0,0,85,74,104
"Ponca City, OK","38620",2022,269,233,36,0,0,0,0,92,53,33,0,0,0,269,0
"Ponce, PR","38660",2022,168,156,12,0,0,0,0,99,45,19,44,0,0,30,94
"Port Angeles, WA","38820",2022,212,205,7,0,0,0,0,67,44,35,0,0,171,41,0
"Port St. Lucie, FL","38940",2022,181,163,17,1,0,0,0,108,50,41,0,0,127,54,0
"Portland-South Portland, ME","38860",2022,304,280,21,3,0,0,0,126,49,38,0,7,273,22,2
"Portland-Vancouver-Hillsboro, OR-WA","38900",2022,212,180,32,0,0,0,0,74,58,34,0,1,122,89,0
"Portsmouth, OH","39020",2022,243,234,9,0,0,0,0,71,34,14,0,0,0,78,165
"Prescott, AZ","39140",2022,273,249,24,0,0,0,0,87,49,42,0,0,273,0,0
"Price, UT","39220",2022,272,234,38,0,0,0,0,74,54,44,0,1,261,10,0
"Prineville, OR","39260",2022,175,169,6,0,0,0,0,66,37,12,0,0,0,175,0
"Providence-Warwick, RI-MA","39300",2022,213,170,40,3,0,0,0,129,60,42,1,2,164,46,0
"Provo-Orem, UT","39340",2022,273,171,99,3,0,0,0,119,75,47,0,4,211,48,10
"Pueblo, CO","39380",2022,235,221,11,3,0,0,0,121,42,19,0,0,0,71,164
"Pullman, WA","39420",2022,212,212,0,0,0,0,0,43,24,12,0,0,0,212,0
"Quincy, IL-MO","39500",2022,206,199,7,0,0,0,0,71,48,39,0,0,206,0,0
"Racine, WI","39540",2022,185,148,34,2,1,0,0,164,67,40,0,0,185,0,0
"Raleigh, NC","39580",2022,274,217,56,1,0,0,0,140,56,43,1,0,203,70,0
"Rapid City, SD","39660",2022,181,127,53,1,0,0,0,116,66,44,0,1,121,4,55
"Reading, PA","39740",2022,243,199,43,1,0,0,0,101,60,38,0,0,100,143,0
"Red Bluff, CA","39780",2022,191,172,19,0,0,0,0,100,50,39,0,0,161,20,10
"Red Wing, MN","39860",2022,121,112,9,0,0,0,0,71,49,41,0,0,121,0,0
"Redding, CA","39820",2022,207,186,21,0,0,0,0,71,51,44,0,0,201,1,5
"Reno, NV","39900",2022,182,130,52,0,0,0,0,87,64,47,1,3,147,29,2
"Richmond, VA","40060",2022,255,218,36,1,0,0,0,112,54,39,42,13,107,92,1
"Riverside-San Bernardino-Ontario, CA","40140",2022,243,25,125,57,29,2,5,1564,164,84,0,13,116,49,65
"Riverton, WY","40180",2022,212,171,41,0,0,0,0,100,58,45,0,0,166,43,3
"Roanoke Rapids, NC","40260",2022,254,239,15,0,0,0,0,65,45,19,0,74,0,180,0
"Roanoke, VA","40220",2022,253,227,26,0,0,0,0,80,51,37,43,1,94,115,0
"Rochester, MN","40340",2022,181,161,19,1,0,0,0,110,51,38,0,0,107,74,0
"Rochester, NY","40380",2022,274,235,37,2,0,0,0,126,54,39,1,0,214,59,0
"Rock Springs, WY","40540",2022,212,176,35,0,1,0,0,157,57,43,0,0,152,31,29
"Rockford, IL","40420",2022,273,228,45,0,0,0,0,97,58,39,0,0,172,101,0
"Rockland, ME","40500",2022,209,203,6,0,0,0,0,80,45,35,0,0,209,0,0
"Rocky Mount, NC","40580",2022,264,245,19,0,0,0,0,93,49,38,0,0,204,60,0
"Rome, GA","40660",2022,236,213,23,0,0,0,0,81,50,29,0,0,0,236,0
"Roseburg, OR","40700",2022,46,31,15,0,0,0,0,64,57,42,0,0,0,46,0
"Rutland, VT","40860",2022,182,154,28,0,0,0,0,71,52,38,1,0,127,54,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2022,273,120,136,17,0,0,0,133,93,54,0,0,221,51,1
"Salem, OH","41400",2022,40,40,0,0,0,0,0,40,28,16,0,0,0,0,40
"Salem, OR","41420",2022,181,157,24,0,0,0,0,91,53,30,0,0,60,121,0
"Salinas, CA","41500",2022,182,166,16,0,0,0,0,63,49,39,1,0,135,31,15
"Salisbury, MD-DE","41540",2022,59,49,10,0,0,0,0,72,54,37,0,0,33,26,0
"Salt Lake City, UT","41620",2022,305,145,140,20,0,0,0,147,97,51,1,27,196,69,12
"San Antonio-New Braunfels, TX","41700",2022,213,104,106,3,0,0,0,129,77,51,1,1,97,113,1
"San Diego-Carlsbad, CA","41740",2022,283,156,120,6,1,0,0,156,77,49,0,2,101,176,4
"San Francisco-Oakland-Hayward, CA","41860",2022,244,159,83,2,0,0,0,122,64,44,1,2,127,114,0
"San Jose-Sunnyvale-Santa Clara, CA","41940",2022,244,167,75,2,0,0,0,112,68,44,1,0,176,67,0
"San Juan-Carolina-Caguas, PR","41980",2022,194,173,19,0,0,2,0,231,55,24,4,15,22,116,37
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020",2022,181,64,115,2,0,0,0,115,72,55,0,0,80,92,9
"Sandpoint, ID","41760",2022,181,177,4,0,0,0,0,61,35,19,0,0,0,154,27
"Santa Cruz-Watsonville, CA","42100",2022,181,170,11,0,0,0,0,54,47,35,0,0,117,64,0
"Santa Fe, NM","42140",2022,181,146,35,0,0,0,0,97,59,45,0,0,167,14,0
"Santa Maria-Santa Barbara, CA","42200",2022,182,148,34,0,0,0,0,93,56,43,1,0,150,30,1
"Santa Rosa, CA","42220",2022,244,229,15,0,0,0,0,61,47,32,1,0,175,66,2
"Savannah, GA","42340",2022,273,229,44,0,0,0,0,97,57,39,0,0,128,145,0
"Sayre, PA","42380",2022,284,262,22,0,0,0,0,80,48,33,0,43,110,131,0
"Scottsbluff, NE","42420",2022,280,275,5,0,0,0,0,77,27,13,0,0,0,280,0
"Scranton--Wilkes-Barre--Hazleton, PA","42540",2022,305,272,33,0,0,0,0,74,51,36,1,91,100,110,3
"Seattle-Tacoma-Bellevue, WA","42660",2022,213,159,47,7,0,0,0,143,66,44,1,6,141,65,0
"Sebastian-Vero Beach, FL","42680",2022,239,231,8,0,0,0,0,67,47,34,0,0,239,0,0
"Sebring, FL","42700",2022,179,167,11,1,0,0,0,112,48,39,0,0,179,0,0
"Sevierville, TN","42940",2022,210,174,36,0,0,0,0,93,58,44,0,0,210,0,0
"Sheboygan, WI","43100",2022,186,155,24,6,1,0,0,177,80,41,0,0,186,0,0
"Shelton, WA","43220",2022,212,201,11,0,0,0,0,62,34,16,0,0,0,212,0
"Sheridan, WY","43260",2022,212,199,13,0,0,0,0,72,48,42,0,0,151,55,6
"Show Low, AZ","43320",2022,272,221,51,0,0,0,0,93,61,43,0,0,209,0,63
"Shreveport-Bossier City, LA","43340",2022,273,190,82,1,0,0,0,108,62,44,0,0,119,153,1
"Sierra Vista-Douglas, AZ","43420",2022,273,203,69,1,0,0,0,101,64,45,0,0,195,0,78
"Sioux City, IA-NE-SD","43580",2022,87,84,3,0,0,0,0,52,45,28,0,0,0,87,0
"Sioux Falls, SD","43620",2022,182,159,23,0,0,0,0,100,51,37,1,0,152,20,9
"Somerset, KY","43700",2022,181,152,29,0,0,0,0,79,54,39,0,0,92,89,0
"Somerset, PA","43740",2022,238,229,9,0,0,0,0,90,46,37,0,0,238,0,0
"Sonora, CA","43760",2022,180,177,3,0,0,0,0,71,45,37,0,0,180,0,0
"South Bend-Mishawaka, IN-MI","43780",2022,273,199,69,5,0,0,0,122,67,43,0,1,178,94,0
"Spartanburg, SC","43900",2022,271,221,50,0,0,0,0,87,56,43,0,0,152,119,0
"Spokane-Spokane Valley, WA","44060",2022,212,163,48,1,0,0,0,103,62,40,0,0,108,72,32
"Springfield, IL","44100",2022,270,222,44,4,0,0,0,126,57,40,0,0,148,122,0
"Springfield, MA","44140",2022,181,152,29,0,0,0,0,97,56,41,0,1,136,44,0
"Springfield, MO","44180",2022,181,137,44,0,0,0,0,94,62,43,0,0,81,99,1
"Springfield, OH","44220",2022,272,203,68,1,0,0,0,129,61,42,0,0,164,108,0
"St. Cloud, MN","41060",2022,155,142,13,0,0,0,0,71,49,38,0,0,90,65,0
"St. George, UT","41100",2022,273,202,71,0,0,0,0,97,64,46,0,0,262,11,0
"St. Joseph, MO-KS","41140",2022,181,142,37,2,0,0,0,106,55,41,0,0,98,51,32
"St. Louis, MO-IL","41180",2022,273,126,136,11,0,0,0,147,84,52,0,3,124,132,14
"St. Marys, PA","41260",2022,241,231,9,1,0,0,0,101,48,37,0,0,241,0,0
"State College, PA","44300",2022,302,263,39,0,0,0,0,84,53,39,0,59,181,62,0
"Steamboat Springs, CO","44460",2022,220,220,0,0,0,0,0,43,28,16,0,0,0,0,220
"Stockton-Lodi, CA","44700",2022,182,123,56,3,0,0,0,109,84,43,3,0,114,61,4
"Summerville, GA","44900",2022,214,205,9,0,0,0,0,77,47,35,0,0,214,0,0
"Syracuse, NY","45060",2022,273,262,11,0,0,0,0,67,47,37,0,0,234,39,0
"Tallahassee, FL","45220",2022,182,129,53,0,0,0,0,96,62,43,1,0,88,93,0
"Tampa-St. Petersburg-Clearwater, FL","45300",2022,181,112,68,1,0,0,0,126,67,46,0,0,116,64,1
"Taos, NM","45340",2022,177,159,18,0,0,0,0,84,52,19,0,0,0,177,0
"Terre Haute, IN","45460",2022,243,180,61,2,0,0,0,115,59,41,0,0,129,114,0
"Texarkana, TX-AR","45500",2022,210,150,60,0,0,0,0,99,62,42,0,0,0,210,0
"The Dalles, OR","45520",2022,161,161,0,0,0,0,0,38,18,12,0,0,0,161,0
"Toledo, OH","45780",2022,240,189,46,5,0,0,0,119,67,42,0,0,156,84,0
"Topeka, KS","45820",2022,181,138,43,0,0,0,0,87,59,44,0,0,114,67,0
"Torrington, CT","45860",2022,182,165,16,1,0,0,0,101,50,40,1,0,168,13,0
"Traverse City, MI","45900",2022,120,104,13,2,1,0,0,151,61,39,0,0,120,0,0
"Trenton, NJ","45940",2022,273,217,53,3,0,0,0,119,61,42,0,0,226,47,0
"Truckee-Grass Valley, CA","46020",2022,243,146,89,8,0,0,0,119,84,48,0,0,207,36,0
"Tucson, AZ","46060",2022,273,157,108,8,0,0,0,142,78,48,0,0,123,15,135
"Tulsa, OK","46140",2022,274,159,102,11,2,0,0,185,85,48,1,1,190,81,1
"Tupelo, MS","46180",2022,214,197,17,0,0,0,0,100,49,40,0,0,214,0,0
"Tuscaloosa, AL","46220",2022,139,121,18,0,0,0,0,87,53,37,0,0,107,32,0
"Twin Falls, ID","46300",2022,169,160,9,0,0,0,0,77,45,18,0,0,0,169,0
"Tyler, TX","46340",2022,210,165,39,6,0,0,0,122,67,42,0,16,194,0,0
"Urban Honolulu, HI","46520",2022,182,181,0,1,0,0,0,142,36,29,1,1,149,26,5
"Utica-Rome, NY","46540",2022,257,251,6,0,0,0,0,81,38,18,0,0,0,257,0
"Valdosta, GA","46660",2022,232,178,54,0,0,0,0,100,61,35,0,0,0,232,0
"Vallejo-Fairfield, CA","46700",2022,273,222,51,0,0,0,0,90,61,40,0,0,212,61,0
"Vermillion, SD","46820",2022,181,174,7,0,0,0,0,84,47,36,0,0,132,49,0
"Vernal, UT","46860",2022,304,227,77,0,0,0,0,93,64,46,0,1,299,4,0
"Victoria, TX","47020",2022,171,166,5,0,0,0,0,67,46,34,0,0,171,0,0
"Vincennes, IN","47180",2022,226,204,22,0,0,0,0,87,50,39,0,0,226,0,0
"Vineland-Bridgeton, NJ","47220",2022,271,246,25,0,0,0,0,84,49,38,0,3,243,25,0
"Vineyard Haven, MA","47240",2022,172,167,5,0,0,0,0,61,45,39,0,0,172,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2022,256,233,22,1,0,0,0,115,50,37,42,15,101,95,3
"Visalia-Porterville, CA","47300",2022,212,70,96,44,2,0,0,156,119,67,0,0,142,70,0
"Wabash, IN","47340",2022,241,217,23,1,0,0,0,112,50,39,0,0,241,0,0
"Waco, TX","47380",2022,243,185,58,0,0,0,0,100,64,42,4,0,155,84,0
"Walla Walla, WA","47460",2022,243,230,13,0,0,0,0,73,45,37,0,0,213,27,3
"Warner Robins, GA","47580",2022,243,198,44,1,0,0,0,102,57,33,0,0,0,243,0
"Washington Court House, OH","47920",2022,128,126,2,0,0,0,0,64,46,35,0,0,128,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2022,274,184,86,4,0,0,0,128,67,45,1,10,194,69,0
"Waterloo-Cedar Falls, IA","47940",2022,304,250,54,0,0,0,0,82,55,40,0,0,167,137,0
"Watertown, SD","47980",2022,181,157,23,1,0,0,0,101,54,37,0,0,141,34,6
"Watertown-Fort Atkinson, WI","48020",2022,183,168,15,0,0,0,0,87,49,39,0,0,183,0,0
"Watertown-Fort Drum, NY","48060",2022,268,260,8,0,0,0,0,84,44,34,0,0,268,0,0
"Wausau, WI","48140",2022,187,179,8,0,0,0,0,64,46,35,0,0,187,0,0
"Weirton-Steubenville, WV-OH","48260",2022,253,161,92,0,0,0,0,100,65,44,0,0,92,161,0
"Wenatchee, WA","48300",2022,212,199,13,0,0,0,0,70,45,18,0,0,0,212,0
"Wheeling, WV-OH","48540",2022,253,186,67,0,0,0,0,99,62,38,0,42,70,140,1
"Whitewater-Elkhorn, WI","48580",2022,184,165,16,3,0,0,0,105,51,40,0,0,184,0,0
"Wichita, KS","48620",2022,181,112,67,2,0,0,0,119,67,45,0,0,110,60,11
"Williamsport, PA","48700",2022,243,211,32,0,0,0,0,78,54,38,0,0,99,144,0
"Wilmington, NC","48900",2022,271,253,18,0,0,0,0,80,47,36,0,0,191,80,0
"Wilmington, OH","48940",2022,214,187,26,1,0,0,0,140,54,41,0,0,214,0,0
"Winchester, VA-WV","49020",2022,208,172,36,0,0,0,0,88,54,38,0,0,98,110,0
"Winston-Salem, NC","49180",2022,243,177,65,1,0,0,0,137,59,44,0,3,143,97,0
"Worcester, MA-CT","49340",2022,243,200,43,0,0,0,0,93,57,42,0,9,156,78,0
"Yakima, WA","49420",2022,212,164,46,2,0,0,0,109,63,29,0,0,0,210,2
"York-Hanover, PA","49620",2022,298,230,67,1,0,0,0,105,61,40,0,57,101,140,0
"Youngstown-Warren-Boardman, OH-PA","49660",2022,243,186,53,4,0,0,0,136,61,43,0,0,183,60,0
"Yuba City, CA","49700",2022,181,116,64,1,0,0,0,102,76,46,0,0,107,74,0
"Yuma, AZ","49740",2022,273,169,95,9,0,0,0,142,80,46,0,0,173,32,68
