"state_code","year","quarter","media","min","max"
"01",2015,"1",10.87942,"3.7","22.5"
"01",2015,"2",11.1202,"3.0","26.4"
"01",2015,"3",11.51592,"3.1","22.5"
"01",2015,"4",6.88486,"0.8","18.1"
"01",2016,"1",7.97484,"2.4","14.3"
"01",2016,"2",10.39372,"3.1","21.7"
"01",2016,"3",8.90306,"3.7","16.0"
"01",2016,"4",9.27226,"2.5","34.7"
"01",2017,"1",8.625,"2.6","22.0"
"01",2017,"2",7.31178,"3.0","17.4"
"01",2017,"3",10.1425,"3.9","18.8"
"01",2017,"4",8.95648,"0.0","27.2"
"01",2018,"1",8.18802,"2.6","17.9"
"01",2018,"2",10.85334,"3.9","24.7"
"01",2018,"3",9.55526,"3.2","17.6"
"01",2018,"4",7.62106,"1.2","24.0"
"01",2019,"1",6.55298,"1.5","17.8"
"01",2019,"2",8.71074,"3.1","21.6"
"01",2019,"3",10.76466,"5.4","19.3"
"01",2019,"4",7.1645,"1.6","19.7"
"01",2020,"1",6.6436,"1.0","13.7"
"01",2020,"2",8.6022,"3.2","35.0"
"01",2020,"3",7.54793333333333,"3.0","13.3"
"01",2020,"4",8.25523333333333,"2.3","17.1"
"01",2021,"1",7.46483333333333,"2.5","16.2"
"01",2021,"2",7.40856666666667,"3.2","11.9"
"01",2021,"3",9.01696666666667,"3.0","29.1"
"01",2021,"4",7.56876666666667,"3.7","18.1"
"01",2022,"1",7.1633,"2.7","15.2"
"01",2022,"2",9.35335,"5.0","16.8"
"02",2015,"1",20.3769,"2.4","47.1"
"02",2015,"2",8.14613333333333,"2.5","76.9"
"02",2015,"3",4.0619,"1.5","5.5"
"02",2015,"4",12.7929,"4.3","34.9"
"02",2016,"1",13.8385,"3.0","29.4"
"02",2016,"2",3.5267,"1.6","8.3"
"02",2016,"3",3.2308,"1.4","6.8"
"02",2016,"4",12.32,"3.5","22.2"
"02",2017,"1",26.85835,"5.7","73.2"
"02",2017,"2",3.9896,"1.7","7.7"
"02",2017,"3",4.79531666666667,"1.5","5.1"
"02",2017,"4",11.6584666666667,"0.3","56.8"
"02",2018,"1",12.1202,"1.3","44.8"
"02",2018,"2",4.3118,"0.0","11.8"
"02",2018,"3",4.62455555555556,"0.5","8.0"
"02",2018,"4",13.983,"0.9","49.9"
"02",2019,"1",15.8520666666667,"1.7","78.3"
"02",2019,"2",4.8992,"0.0","8.9"
"02",2019,"3",12.9141,"0.2","30.8"
"02",2019,"4",12.03155,"0.9","63.7"
"02",2020,"1",15.03515,"1.2","68.0"
"02",2020,"2",3.9405,"0.3","9.8"
"02",2020,"3",3.5033,"0.1","9.0"
"02",2020,"4",14.28245,"1.5","69.3"
"02",2021,"1",18.50535,"1.6","47.1"
"02",2021,"2",4.75135,"1.1","9.8"
"02",2021,"3",5.65685,"0.0","31.0"
"02",2021,"4",11.5555,"0.2","59.5"
"02",2022,"1",10.7323666666667,"1.3","71.1"
"02",2022,"2",13.9781333333333,"1.4","230.2"
"02",2022,"3",2.58,"0.8","6.0"
"05",2015,"1",8.41665,"4.5","17.4"
"05",2015,"2",9.99285,"3.0","21.0"
"05",2015,"3",11.54375,"5.3","18.9"
"05",2015,"4",11.40715,"6.6","19.1"
"05",2016,"1",8.0125,"4.7","15.5"
"05",2016,"2",9.18305,"4.8","17.2"
"05",2016,"3",12.05,"1.2","19.5"
"05",2016,"4",11.775,"5.8","19.4"
"05",2017,"1",9.1,"3.5","13.9"
"05",2017,"2",7.99195,"5.3","12.0"
"05",2017,"3",10.93125,"4.8","22.2"
"05",2017,"4",9.4357,"2.0","17.1"
"05",2018,"1",8.8625,"5.2","15.5"
"05",2018,"2",10.9488,"5.5","16.1"
"05",2018,"3",11.59105,"1.7","28.8"
"05",2018,"4",7.26875,"3.7","14.0"
"05",2019,"1",7.35,"1.4","13.9"
"05",2019,"2",9.5616,"3.3","14.0"
"05",2019,"3",11.275,"4.8","22.8"
"05",2019,"4",9.3619,"3.9","17.8"
"05",2020,"1",7.76785,"3.9","12.6"
"05",2020,"2",7.4286,"4.1","13.1"
"05",2020,"3",9.23125,"3.0","17.9"
"05",2020,"4",10.02945,"4.3","16.5"
"05",2021,"1",8.0643,"3.7","12.4"
"05",2021,"2",8.625,"4.1","16.2"
"05",2021,"3",14.02855,"4.1","26.3"
"05",2021,"4",8.3286,"2.9","21.3"
"05",2022,"1",7.6643,"4.0","9.2"
"06",2015,"1",9.6119,"1.4","8.2"
"06",2015,"2",8.66642,"0.8","9.4"
"06",2015,"3",8.46778,"0.3","9.5"
"06",2015,"4",12.15864,"0.3","57.3"
"06",2016,"1",10.92118,"0.2","7.3"
"06",2016,"2",7.61476666666667,"0.4","6.8"
"06",2016,"3",10.189625,"0.2","51.6"
"06",2016,"4",10.99178,"0.4","8.0"
"06",2017,"1",11.90415,"3.0","54.9"
"06",2017,"2",7.79833333333333,"0.3","6.5"
"06",2017,"3",9.6108375,"1.3","52.0"
"06",2017,"4",13.4949142857143,"1.0","8.0"
"06",2018,"1",9.6038,"0.8","8.0"
"06",2018,"2",9.78645,"2.0","9.1"
"06",2018,"3",13.8336571428571,"3.0","69.0"
"06",2018,"4",14.2292833333333,"1.0","6.0"
"06",2019,"1",6.74955714285714,"1.0","8.0"
"06",2019,"2",7.13983333333333,"1.0","9.0"
"06",2019,"3",8.17263333333333,"2.0","8.4"
"06",2019,"4",10.2268714285714,"1.0","9.3"
"06",2020,"1",9.44891666666667,"1.0","6.4"
"06",2020,"2",6.93792,"0.0","9.0"
"06",2020,"3",26.6578666666667,"4.4","7.1"
"06",2020,"4",13.8088625,"1.0","44.0"
"06",2021,"1",9.903575,"1.0","8.0"
"06",2021,"2",8.00425,"1.0","8.4"
"06",2021,"3",11.63106,"1.0","41.3"
"06",2021,"4",10.7395,"1.0","61.1"
"06",2022,"1",7.28774,"1.0","5.7"
"06",2022,"2",7.9516,"1.0","7.2"
"08",2015,"1",7.33556666666667,"1.5","5.8"
"08",2015,"2",4.79665,"1.8","9.5"
"08",2015,"3",5.81645,"1.9","7.2"
"08",2015,"4",4.09945,"1.1","4.7"
"08",2016,"1",4.66335,"1.8","6.9"
"08",2016,"2",4.46,"1.1","6.8"
"08",2016,"3",6.6533,"4.6","9.6"
"08",2016,"4",8.12335,"3.9","20.0"
"08",2017,"1",7.2131,"2.9","23.3"
"08",2017,"2",5.854,"1.2","8.2"
"08",2017,"3",12.6,"3.6","48.0"
"08",2017,"4",8.1333,"2.9","20.3"
"08",2018,"1",9.9121,"3.6","36.3"
"08",2018,"2",6.67215,"1.7","12.8"
"08",2018,"3",9.71565,"5.7","22.9"
"08",2018,"4",8.7,"2.4","20.0"
"08",2019,"1",11.8172,"2.0","34.8"
"08",2019,"2",5.6467,"1.3","15.6"
"08",2019,"3",7.4833,"4.1","9.3"
"08",2019,"4",9.3844,"2.7","24.4"
"08",2020,"1",5.5333,"1.9","12.6"
"08",2020,"2",5.4333,"3.1","9.5"
"08",2020,"3",13.31065,"4.6","41.3"
"08",2020,"4",7.8071,"2.1","17.8"
"08",2021,"1",9.7067,"1.8","35.5"
"08",2021,"3",14.64645,"5.4","42.1"
"08",2021,"4",7.29065,"2.1","16.2"
"08",2022,"1",6.3433,"2.6","16.6"
"08",2022,"2",8.25,"2.4","22.7"
"08",2022,"3",7.42,"3.7","17.2"
"09",2015,"1",10.3282,"4.0","20.9"
"09",2015,"2",8.0705,"2.5","26.6"
"09",2015,"3",8.75715,"2.7","23.2"
"09",2015,"4",6.73715,"1.1","14.5"
"09",2016,"1",7.5173,"0.3","22.7"
"09",2016,"2",5.87155,"1.1","8.7"
"09",2016,"3",6.4462,"2.1","9.7"
"09",2016,"4",6.90335,"1.2","13.2"
"09",2017,"1",6.66,"2.7","13.9"
"09",2017,"2",5.475,"1.0","17.7"
"09",2017,"3",6.2067,"2.9","13.0"
"09",2017,"4",7.52,"2.2","18.5"
"09",2018,"1",6.98,"3.1","15.5"
"09",2018,"2",6.4133,"1.6","18.6"
"09",2018,"3",7.9125,"2.9","19.1"
"09",2018,"4",4.38,"1.6","11.8"
"09",2019,"1",5.6733,"1.7","16.0"
"09",2019,"2",4.4867,"2.1","7.3"
"09",2019,"3",7.0875,"3.4","14.4"
"09",2019,"4",6.9667,"1.2","25.6"
"09",2020,"1",5.82,"1.4","12.4"
"09",2020,"2",5.3533,"1.0","10.5"
"09",2020,"3",7.3875,"3.7","14.2"
"09",2020,"4",5.94,"1.0","18.6"
"09",2021,"1",6.3667,"2.0","20.6"
"09",2021,"2",6.4867,"0.9","11.6"
"09",2021,"3",9.64,"2.4","32.0"
"09",2021,"4",6.3375,"2.2","13.0"
"09",2022,"1",7.6733,"1.7","15.0"
"09",2022,"2",4.3067,"1.3","6.8"
"10",2015,"1",11.375,"3.4","18.5"
"10",2015,"2",8.4611,"1.6","27.5"
"10",2015,"3",9.4333,"3.6","26.9"
"10",2016,"1",9.6588,"4.0","21.4"
"10",2016,"4",8.6143,"1.7","16.7"
"10",2017,"1",8.7667,"3.1","19.3"
"10",2017,"2",5.6438,"1.2","14.7"
"10",2017,"3",7.38,"3.3","12.0"
"10",2017,"4",10.3583,"2.6","26.1"
"10",2018,"1",10.4429,"2.3","21.8"
"10",2018,"2",7.1357,"3.4","13.5"
"10",2018,"3",7.4923,"0.1","14.4"
"10",2019,"1",8.9769,"2.3","31.4"
"10",2019,"2",6.45,"2.8","13.8"
"10",2019,"3",8.9083,"3.8","14.2"
"10",2020,"3",7.8625,"3.1","13.0"
"10",2020,"4",6.7286,"1.4","21.4"
"10",2021,"1",7.9933,"2.4","16.5"
"11",2015,"1",11.0621,"0.0","25.2"
"11",2015,"2",9.1931,"3.0","27.2"
"11",2015,"3",10.0133,"2.3","24.8"
"11",2015,"4",7.6143,"2.2","20.5"
"11",2016,"1",9.46,"2.3","31.5"
"11",2016,"3",8.4931,"4.0","12.6"
"11",2018,"1",8.1043,"2.2","17.2"
"11",2018,"2",6.831,"2.2","13.8"
"11",2018,"3",8.0321,"3.0","23.2"
"11",2018,"4",7.4448,"1.2","22.7"
"11",2019,"2",6.4143,"1.1","14.8"
"11",2019,"3",8.4897,"4.6","14.0"
"11",2019,"4",7.3536,"2.9","30.9"
"11",2020,"1",5.3871,"1.9","10.0"
"11",2020,"2",4.9276,"0.2","9.5"
"11",2020,"3",7.8226,"3.4","26.5"
"11",2020,"4",7.1519,"0.8","29.2"
"11",2021,"1",7.4143,"2.6","17.8"
"11",2021,"2",6.1333,"0.6","12.5"
"11",2021,"3",11.5806,"4.9","36.0"
"11",2021,"4",6.9903,"2.3","11.8"
"12",2015,"1",8.10301538461538,"2.6","9.6"
"12",2015,"2",6.11572222222222,"1.9","9.2"
"12",2015,"3",6.77168333333333,"2.0","9.4"
"12",2015,"4",5.10458,"1.7","8.5"
"12",2016,"1",8.21543333333333,"2.6","9.8"
"12",2016,"2",7.16268333333333,"0.8","9.7"
"12",2016,"3",5.75844444444444,"2.7","9.5"
"12",2016,"4",5.57051,"1.7","9.9"
"12",2017,"1",7.32243333333333,"3.2","9.7"
"12",2017,"2",7.75220909090909,"2.8","24.4"
"12",2017,"3",7.1875,"2.6","8.6"
"12",2017,"4",7.49954,"3.0","23.7"
"12",2018,"1",6.80894,"1.7","6.3"
"12",2018,"2",7.878575,"2.9","8.2"
"12",2018,"3",5.76606,"3.0","7.4"
"12",2018,"4",6.63868333333333,"2.8","9.9"
"12",2019,"1",6.58048,"2.6","8.9"
"12",2019,"2",8.32221666666667,"3.2","21.3"
"12",2019,"3",7.453125,"3.1","8.0"
"12",2019,"4",4.9,"1.6","8.0"
"12",2020,"1",7.36013333333333,"3.1","13.0"
"12",2020,"2",7.3607,"4.4","11.9"
"12",2020,"3",6.05236666666667,"3.6","7.9"
"12",2020,"4",6.14403333333333,"2.5","9.1"
"12",2021,"1",6.05,"2.6","9.8"
"12",2021,"2",6.5982,"3.4","8.3"
"12",2021,"3",7.7786,"2.1","17.0"
"12",2021,"4",7.0389,"1.7","12.3"
"12",2022,"1",7.1506,"3.2","11.4"
"12",2022,"2",7.6857,"5.5","9.9"
"12",2022,"3",5.4,"3.3","8.5"
"15",2015,"1",7.9445,"-0.9","21.7"
"15",2015,"2",7.76216,"-0.4","20.1"
"15",2015,"3",7.10136,"0.9","17.0"
"15",2015,"4",6.70998,"-0.7","20.0"
"15",2016,"1",6.58685,"-1.0","47.2"
"15",2016,"2",9.56818,"-4.1","23.9"
"15",2016,"3",9.6989,"-0.8","8.6"
"15",2016,"4",9.2999,"-1.0","6.5"
"15",2017,"1",12.8758,"-1.0","30.6"
"15",2017,"2",5.9836,"-0.5","6.7"
"15",2017,"3",4.50174,"-0.5","9.5"
"15",2017,"4",5.34558,"-0.2","13.8"
"15",2018,"1",6.17362857142857,"0.2","9.7"
"15",2018,"2",8.61022857142857,"-0.9","9.7"
"15",2018,"3",7.40612857142857,"1.5","7.7"
"15",2018,"4",3.39522,"1.1","8.4"
"15",2019,"1",3.26057142857143,"-0.4","7.9"
"15",2019,"2",3.15958571428571,"-0.2","8.8"
"15",2019,"3",3.54994285714286,"0.1","84.5"
"15",2019,"4",3.06012,"0.2","7.6"
"15",2020,"1",3.661825,"0.3","8.9"
"15",2020,"2",2.4356,"0.2","6.5"
"15",2020,"3",2.72965,"0.3","6.4"
"15",2020,"4",3.2775,"0.3","7.9"
"15",2021,"1",3.90293333333333,"0.5","7.2"
"15",2021,"2",2.82193333333333,"0.2","6.7"
"15",2021,"3",2.9098,"0.2","5.7"
"15",2021,"4",3.31652,"-0.3","8.8"
"15",2022,"1",3.56338,"-0.1","9.0"
"15",2022,"2",4.143675,"-1.0","8.4"
"16",2015,"1",6.95355,"0.2","8.3"
"16",2015,"2",4.1744,"0.9","8.6"
"16",2015,"3",8.63658333333333,"1.4","55.6"
"16",2015,"4",6.161425,"0.0","34.3"
"16",2016,"1",5.9094,"0.5","28.0"
"16",2016,"2",3.9662,"1.5","6.6"
"16",2016,"3",6.31,"0.3","8.0"
"16",2016,"4",5.9788,"0.0","8.8"
"16",2017,"1",8.9,"0.7","39.8"
"16",2017,"2",3.1431,"0.0","7.8"
"16",2017,"3",12.559575,"2.2","8.4"
"16",2017,"4",5.78,"0.8","29.7"
"16",2018,"1",4.6,"1.0","8.7"
"16",2018,"2",3.8267,"1.1","7.7"
"16",2018,"3",10.87,"3.0","30.3"
"16",2018,"4",7.0933,"2.7","21.7"
"16",2019,"1",8.15615,"0.9","49.8"
"16",2019,"2",3.86765,"0.4","9.1"
"16",2019,"3",5.958625,"3.1","9.7"
"16",2019,"4",12.43335,"3.2","49.9"
"16",2020,"1",6.01215,"1.2","23.0"
"16",2020,"2",3.8057,"0.9","8.1"
"16",2020,"3",12.2051333333333,"2.2","31.0"
"16",2020,"4",10.1667,"2.7","27.4"
"16",2021,"1",6.91615,"1.4","27.0"
"16",2021,"2",4.70665,"1.5","8.1"
"16",2021,"3",16.73765,"2.4","80.6"
"16",2021,"4",7.2201,"1.7","20.2"
"16",2022,"1",8.4714,"3.1","14.9"
"16",2022,"2",4.5067,"1.5","7.7"
"18",2015,"1",11.8527,"3.2","32.0"
"18",2015,"2",10.226025,"2.3","26.4"
"18",2015,"3",12.5206333333333,"2.5","87.6"
"18",2015,"4",8.01506666666667,"2.0","19.6"
"18",2016,"1",9.26053333333333,"2.5","20.7"
"18",2016,"2",8.09333333333333,"2.5","18.4"
"18",2016,"3",8.13576666666667,"2.8","16.3"
"18",2016,"4",8.73316666666667,"2.0","20.7"
"18",2017,"1",9.6181,"1.8","23.3"
"18",2017,"2",6.4233,"2.2","11.5"
"18",2017,"3",10.04665,"4.0","20.1"
"18",2017,"4",9.3044,"1.5","41.4"
"18",2018,"1",9.57275,"3.8","18.5"
"18",2018,"2",9.09785,"4.8","17.2"
"18",2018,"3",8.90225,"3.7","15.5"
"18",2018,"4",10.5333,"2.7","26.4"
"18",2019,"1",9.76,"3.5","30.6"
"18",2019,"2",8.1,"2.7","16.6"
"18",2019,"3",10.5308,"7.2","15.3"
"18",2019,"4",10.9467,"3.3","28.3"
"18",2020,"1",9.6571,"4.4","16.6"
"18",2020,"2",8.5571,"3.8","21.0"
"18",2020,"3",10.0813,"4.0","16.4"
"18",2020,"4",9.52,"2.4","20.5"
"18",2021,"1",11.2333,"3.0","22.4"
"18",2021,"2",8.9,"4.6","22.2"
"18",2021,"3",13.2333,"5.9","33.9"
"18",2021,"4",7.5857,"2.8","17.2"
"18",2022,"1",9.5143,"4.1","21.8"
"18",2022,"2",10.9533,"2.5","20.5"
"19",2015,"1",10.2017,"4.0","31.7"
"19",2015,"2",8.30832,"1.6","25.0"
"19",2015,"3",9.15672,"2.0","27.7"
"19",2015,"4",6.77532,"1.0","14.8"
"19",2016,"1",9.36666,"1.1","20.8"
"19",2016,"2",7.092375,"2.3","9.9"
"19",2016,"3",7.6799,"3.3","16.1"
"19",2016,"4",6.6752,"1.1","18.4"
"19",2017,"1",7.98588,"0.7","21.7"
"19",2017,"2",6.22696,"1.0","20.3"
"19",2017,"3",8.96532,"3.1","20.7"
"19",2017,"4",7.084,"1.8","21.4"
"19",2018,"1",10.17374,"3.2","24.5"
"19",2018,"2",7.54142,"0.6","15.7"
"19",2018,"3",8.25338,"2.6","22.7"
"19",2018,"4",6.874925,"1.1","24.8"
"19",2019,"1",8.75432,"2.5","22.0"
"19",2019,"2",5.89104,"0.9","9.5"
"19",2019,"3",8.47696,"3.5","31.3"
"19",2019,"4",7.13466,"1.4","22.8"
"19",2020,"1",7.95012,"1.8","9.4"
"19",2020,"2",6.8898,"2.7","9.6"
"19",2020,"3",7.61966,"3.1","14.6"
"19",2020,"4",9.01068,"2.5","28.0"
"19",2021,"1",10.2724,"2.1","20.6"
"19",2021,"2",7.24268,"1.2","26.5"
"19",2021,"3",10.07392,"3.0","26.3"
"19",2021,"4",6.74386,"0.8","17.6"
"19",2022,"1",6.75266,"1.5","17.2"
"19",2022,"2",7.70402,"1.5","24.5"
"19",2022,"3",7.37868,"3.2","18.9"
"20",2015,"1",9.34,"2.3","21.7"
"20",2015,"2",6.68845,"2.5","18.3"
"20",2015,"3",9.98205,"5.1","20.1"
"20",2015,"4",6.2179,"0.3","9.1"
"20",2016,"1",8.2321,"2.6","21.1"
"20",2016,"2",7.76215,"1.6","18.9"
"20",2016,"3",8.7,"4.8","15.2"
"20",2016,"4",7.08486666666667,"-0.4","15.1"
"20",2017,"1",6.87495,"0.4","20.9"
"20",2017,"2",6.39413333333333,"0.0","17.8"
"20",2017,"3",9.76926666666667,"4.1","25.9"
"20",2017,"4",7.73515,"0.4","22.8"
"20",2018,"1",10.5133,"3.5","26.4"
"20",2018,"2",8.79376666666667,"2.1","34.8"
"20",2018,"3",9.3898,"1.6","31.3"
"20",2018,"4",7.80033333333333,"1.2","24.8"
"20",2019,"1",8.733,"0.9","22.2"
"20",2019,"2",7.723375,"0.0","69.3"
"20",2019,"3",9.50523333333333,"3.4","20.1"
"20",2019,"4",7.7216,"1.2","23.2"
"20",2020,"1",8.120275,"2.1","38.8"
"20",2020,"2",8.91572,"1.8","72.7"
"20",2020,"3",9.341975,"1.0","42.1"
"20",2020,"4",8.2702,"0.2","22.4"
"20",2021,"1",9.10478,"0.8","39.9"
"20",2021,"2",8.56856,"1.7","32.0"
"20",2021,"3",12.99682,"4.5","55.8"
"20",2021,"4",8.82368,"1.4","43.8"
"20",2022,"1",8.82258,"2.2","28.9"
"20",2022,"2",9.42614,"1.0","35.3"
"21",2015,"1",9.56535,"0.1","22.1"
"21",2015,"2",9.67335,"4.0","26.9"
"21",2015,"3",11.16515,"2.7","49.8"
"21",2015,"4",6.017825,"1.4","9.1"
"21",2016,"1",7.023475,"1.5","9.7"
"21",2016,"2",7.81715,"4.2","14.2"
"21",2016,"3",7.701675,"3.2","15.2"
"21",2016,"4",10.4167,"2.6","39.7"
"21",2017,"1",7.39845,"2.7","16.1"
"21",2017,"2",6.1719,"1.9","9.2"
"21",2017,"3",9.116975,"3.4","15.0"
"21",2017,"4",7.9472,"2.5","17.2"
"21",2018,"1",8.303225,"2.7","17.3"
"21",2018,"2",8.88995,"4.0","17.6"
"21",2018,"3",8.8742,"2.5","21.5"
"21",2018,"4",7.806,"2.7","28.2"
"21",2019,"1",7.040925,"1.8","15.8"
"21",2019,"2",6.846975,"2.6","16.6"
"21",2019,"3",9.52393333333333,"3.8","16.9"
"21",2019,"4",6.40016666666667,"2.0","16.8"
"21",2020,"1",7.0822,"3.4","16.7"
"21",2020,"2",7.0465,"1.9","13.8"
"21",2020,"3",8.0432,"3.4","14.7"
"21",2020,"4",7.39996666666667,"2.3","17.5"
"21",2021,"1",9.6333,"4.9","29.8"
"21",2021,"2",7.06175,"3.4","13.0"
"21",2021,"3",10.8467,"4.8","24.2"
"21",2021,"4",4.6467,"0.3","9.9"
"21",2022,"1",7.26785,"2.6","16.5"
"21",2022,"2",8.66735,"2.5","21.1"
"22",2015,"1",7.9,"4.5","12.7"
"22",2015,"3",10.72,"7.4","14.2"
"22",2015,"4",10.13,"3.0","16.7"
"22",2016,"1",9.4125,"5.2","18.9"
"22",2016,"2",9.9889,"6.4","15.9"
"22",2016,"3",11.7,"4.8","17.3"
"22",2016,"4",10.35,"5.2","15.0"
"22",2017,"1",9.4857,"6.6","12.6"
"22",2017,"2",11.825,"7.7","16.8"
"22",2017,"3",12.6333,"8.9","18.5"
